296.397, 130.252, 6.467,  6.689 False
296.183, 130.284, 6.499,  6.722 False
295.968, 130.316, 6.530,  6.755 False
295.752, 130.350, 6.562,  6.788 False
295.535, 130.384, 6.593,  6.821 False
295.318, 130.418, 6.625,  6.854 False
295.099, 130.453, 6.655,  6.887 False
294.879, 130.489, 6.686,  6.920 False
294.658, 130.525, 6.716,  6.953 False
294.437, 130.562, 6.746,  6.986 False
294.214, 130.600, 6.775,  7.019 False
293.991, 130.637, 6.805,  7.052 False
293.766, 130.674, 6.834,  7.085 False
293.541, 130.713, 6.864,  7.118 False
293.314, 130.751, 6.893,  7.151 False
293.087, 130.789, 6.924,  7.184 False
292.859, 130.829, 6.952,  7.217 False
292.630, 130.868, 6.982,  7.250 False
292.400, 130.909, 7.011,  7.283 False
292.169, 130.949, 7.042,  7.316 False
291.937, 130.989, 7.071,  7.349 False
291.704, 131.030, 7.101,  7.382 False
291.470, 131.071, 7.130,  7.415 False
291.235, 131.112, 7.160,  7.448 False
290.999, 131.153, 7.189,  7.481 False
290.762, 131.195, 7.219,  7.514 False
290.524, 131.236, 7.248,  7.547 False
290.286, 131.278, 7.278,  7.580 False
290.046, 131.320, 7.307,  7.613 False
289.805, 131.363, 7.337,  7.646 False
289.564, 131.405, 7.366,  7.679 False
289.321, 131.448, 7.396,  7.712 False
289.078, 131.491, 7.425,  7.745 False
288.833, 131.534, 7.454,  7.778 False
288.588, 131.578, 7.483,  7.811 False
288.342, 131.621, 7.512,  7.844 False
288.094, 131.665, 7.540,  7.877 False
287.846, 131.709, 7.570,  7.910 False
287.597, 131.753, 7.598,  7.943 False
287.347, 131.796, 7.627,  7.976 False
287.095, 131.840, 7.656,  8.009 False
286.843, 131.884, 7.686,  8.042 False
286.590, 131.928, 7.714,  8.075 False
286.336, 131.972, 7.744,  8.108 False
286.081, 132.017, 7.772,  8.141 False
285.825, 132.061, 7.801,  8.174 False
285.568, 132.106, 7.830,  8.207 False
285.310, 132.150, 7.860,  8.240 False
285.051, 132.195, 7.888,  8.273 False
284.791, 132.236, 7.912,  8.306 False
284.530, 132.275, 7.938,  8.339 False
284.267, 132.313, 7.968,  8.372 False
284.003, 132.350, 7.998,  8.405 False
283.738, 132.386, 8.027,  8.438 False
283.472, 132.420, 8.057,  8.471 False
283.205, 132.452, 8.086,  8.504 False
282.936, 132.482, 8.114,  8.537 False
282.667, 132.511, 8.145,  8.570 False
282.396, 132.538, 8.173,  8.603 False
282.124, 132.563, 8.204,  8.636 False
281.851, 132.586, 8.229,  8.669 False
281.577, 132.609, 8.252,  8.702 False
281.302, 132.631, 8.270,  8.735 False
281.027, 132.651, 8.282,  8.768 False
280.752, 132.670, 8.293,  8.801 False
280.476, 132.687, 8.301,  8.834 False
280.200, 132.704, 8.309,  8.867 False
279.923, 132.718, 8.314,  8.900 False
279.646, 132.730, 8.319,  8.933 False
279.369, 132.741, 8.323,  8.966 False
279.092, 132.750, 8.327,  8.999 False
278.815, 132.758, 8.331,  9.032 False
278.537, 132.764, 8.333,  9.065 False
278.260, 132.769, 8.337,  9.098 False
277.982, 132.774, 8.340,  9.131 False
277.704, 132.777, 8.342,  9.164 False
277.426, 132.779, 8.343,  9.197 False
277.148, 132.780, 8.344,  9.230 False
276.870, 132.778, 8.344,  9.263 False
276.592, 132.776, 8.346,  9.296 False
276.314, 132.772, 8.347,  9.329 False
276.036, 132.767, 8.348,  9.362 False
275.758, 132.760, 8.348,  9.395 False
275.480, 132.753, 8.350,  9.428 False
275.201, 132.746, 8.351,  9.461 False
274.923, 132.738, 8.351,  9.494 False
274.645, 132.728, 8.351,  9.527 False
274.367, 132.717, 8.351,  9.560 False
274.089, 132.706, 8.351,  9.593 False
273.811, 132.693, 8.351,  9.626 False
273.533, 132.679, 8.351,  9.659 False
273.255, 132.665, 8.351,  9.692 False
272.977, 132.649, 8.351,  9.725 False
272.699, 132.632, 8.351,  9.758 False
272.422, 132.613, 8.351,  9.791 False
272.144, 132.595, 8.352,  9.824 False
